iter	Passed	Remaining
332	697	1396
333	698	1392
334	699	1389
335	701	1385
336	703	1383
337	704	1379
338	706	1377
339	707	1373
340	709	1370
341	710	1367
342	712	1364
343	713	1361
344	715	1357
345	717	1356
346	719	1353
347	720	1349
348	721	1346
349	723	1343
350	724	1339
351	725	1336
352	727	1333
353	728	1330
354	730	1326
355	731	1323
356	732	1319
357	734	1317
358	736	1314
359	737	1311
360	739	1308
361	740	1305
362	742	1302
363	743	1299
364	745	1296
365	746	1293
366	748	1290
367	749	1287
368	750	1283
369	751	1280
370	753	1276
371	754	1273
372	755	1270
373	756	1266
374	758	1263
375	759	1260
376	760	1256
377	761	1253
378	762	1250
379	764	1246
380	765	1243
381	766	1240
382	768	1237
383	769	1234
384	770	1231
385	772	1228
386	773	1225
387	775	1222
388	776	1219
389	778	1217
390	779	1214
391	780	1210
392	781	1207
393	783	1204
394	784	1201
395	786	1198
396	787	1196
397	788	1193
398	790	1190
399	791	1187
400	793	1184
401	794	1181
402	795	1179
403	797	1176
404	798	1173
405	799	1170
406	801	1167
407	802	1164
408	804	1161
409	805	1159
410	806	1156
411	808	1153
412	809	1150
413	810	1147
414	811	1144
415	812	1141
416	814	1138
417	815	1135
418	816	1132
419	818	1129
420	819	1126
421	820	1123
422	821	1121
423	823	1118
424	824	1115
425	825	1112
426	826	1109
427	828	1106
428	829	1103
429	830	1101
430	831	1098
431	833	1095
432	834	1092
433	835	1090
434	837	1087
435	838	1084
436	839	1081
437	841	1079
438	842	1076
439	843	1073
440	844	1071
441	846	1068
442	847	1065
443	849	1063
444	850	1060
445	851	1057
446	853	1055
447	854	1052
448	855	1049
449	857	1047
450	858	1044
451	859	1042
452	861	1039
453	862	1037
454	863	1034
455	865	1032
456	866	1030
457	868	1027
458	869	1024
459	871	1022
460	872	1020
461	873	1017
462	875	1015
463	876	1012
464	877	1010
465	879	1007
466	880	1004
467	881	1002
468	883	999
469	884	997
470	885	994
471	886	992
472	888	989
473	889	987
474	890	984
475	891	981
476	892	979
477	894	976
478	895	973
479	896	971
480	898	969
481	899	966
482	900	964
483	902	961
484	903	959
485	905	957
486	906	954
487	907	952
488	909	950
489	910	947
490	912	945
491	913	943
492	915	941
493	917	939
494	918	937
495	920	935
496	921	932
497	923	930
498	924	928
499	925	925
500	927	923
501	929	921
502	930	919
503	931	917
504	933	914
505	934	912
506	936	910
507	937	908
508	939	906
509	940	903
510	942	901
511	943	899
512	945	897
513	946	894
514	948	892
515	949	890
516	950	888
517	952	886
518	953	883
519	955	881
520	956	879
521	958	877
522	959	875
523	961	873
524	962	870
525	963	868
526	965	866
527	966	864
528	967	861
529	969	859
530	971	857
531	972	855
532	973	853
533	975	850
534	976	848
535	978	846
536	979	844
537	981	842
538	982	840
539	984	838
540	985	836
541	986	833
542	988	831
543	989	829
544	991	827
545	992	825
546	993	823
547	995	821
548	997	819
549	998	817
550	1000	815
551	1001	813
552	1003	811
553	1004	808
554	1006	806
555	1007	804
556	1008	802
557	1010	800
558	1011	798
559	1012	795
560	1014	793
561	1015	791
562	1016	789
563	1018	787
564	1019	785
565	1021	783
566	1023	781
567	1024	779
568	1025	777
569	1027	775
570	1029	773
571	1030	771
572	1032	769
573	1034	767
574	1035	765
575	1036	763
576	1038	761
577	1039	759
578	1041	757
579	1042	754
580	1043	752
581	1045	750
582	1046	748
583	1048	746
584	1049	744
585	1051	742
586	1052	740
587	1053	738
588	1055	736
589	1056	734
590	1058	732
591	1059	730
592	1060	727
593	1061	725
594	1062	723
595	1064	721
596	1065	719
597	1066	717
598	1068	715
599	1069	712
600	1071	711
601	1072	709
602	1073	707
603	1075	704
604	1076	702
605	1078	700
606	1079	698
607	1080	696
608	1081	694
609	1083	692
610	1084	690
611	1086	688
612	1087	686
613	1088	684
614	1090	682
615	1091	680
616	1092	678
617	1094	676
618	1095	674
619	1096	672
620	1097	670
621	1099	668
622	1100	665
623	1101	663
624	1103	661
625	1104	659
626	1106	658
627	1107	656
628	1108	654
629	1109	651
630	1111	649
631	1112	647
632	1113	645
633	1115	643
634	1116	641
635	1118	639
636	1119	638
637	1120	636
638	1122	634
639	1123	631
640	1124	629
641	1126	628
642	1127	626
643	1129	624
644	1130	622
645	1132	620
646	1133	618
647	1135	616
648	1136	614
649	1137	612
650	1139	610
651	1140	608
652	1142	606
653	1143	604
654	1144	602
655	1145	600
656	1147	598
657	1148	596
658	1149	594
659	1150	592
660	1152	590
661	1153	588
662	1154	587
663	1156	585
664	1157	583
665	1159	581
666	1160	579
667	1161	577
668	1162	575
669	1164	573
670	1165	571
671	1166	569
672	1167	567
673	1169	565
674	1170	563
675	1171	561
676	1172	559
677	1174	557
678	1175	555
679	1176	553
680	1178	551
681	1179	549
682	1180	547
683	1182	546
684	1183	544
685	1184	542
686	1186	540
687	1187	538
688	1188	536
689	1190	534
690	1191	532
691	1192	530
692	1194	528
693	1195	527
694	1196	525
695	1198	523
696	1199	521
697	1200	519
698	1202	517
699	1203	515
700	1204	513
701	1205	511
702	1207	510
703	1208	508
704	1210	506
705	1211	504
706	1212	502
707	1214	500
708	1215	498
709	1217	497
710	1218	495
711	1219	493
712	1221	491
713	1222	489
714	1223	487
715	1225	486
716	1227	484
717	1228	482
718	1230	480
719	1231	479
720	1233	477
721	1234	475
722	1235	473
723	1237	471
724	1239	470
725	1240	468
726	1241	466
727	1243	464
728	1244	462
729	1245	460
730	1246	458
731	1248	456
732	1249	455
733	1250	453
734	1252	451
735	1253	449
736	1254	447
737	1255	445
738	1257	444
739	1258	442
740	1259	440
741	1261	438
742	1262	436
743	1263	434
744	1265	432
745	1266	431
746	1267	429
747	1268	427
748	1270	425
749	1271	423
750	1272	421
751	1274	420
752	1275	418
753	1276	416
754	1278	414
755	1279	412
756	1280	411
757	1282	409
758	1283	407
759	1285	405
760	1286	404
761	1287	402
762	1289	400
763	1291	398
764	1292	396
765	1293	395
766	1295	393
767	1297	391
768	1298	390
769	1300	388
770	1301	386
771	1302	384
772	1304	382
773	1305	381
774	1306	379
775	1308	377
776	1310	375
777	1311	374
778	1313	372
779	1314	370
780	1315	368
781	1317	367
782	1318	365
783	1319	363
784	1321	361
785	1322	360
786	1323	358
787	1325	356
788	1326	354
789	1327	353
790	1329	351
791	1330	349
792	1332	347
793	1333	345
794	1334	344
795	1336	342
796	1338	340
797	1339	339
798	1340	337
799	1342	335
800	1343	333
801	1345	332
802	1346	330
803	1347	328
804	1349	326
805	1350	325
806	1352	323
807	1353	321
808	1355	319
809	1356	318
810	1358	316
811	1359	314
812	1360	313
813	1362	311
814	1363	309
815	1365	307
816	1366	306
817	1367	304
818	1369	302
819	1370	300
820	1372	299
821	1373	297
822	1374	295
823	1376	294
824	1377	292
825	1379	290
826	1381	288
827	1382	287
828	1384	285
829	1385	283
830	1386	282
831	1388	280
832	1389	278
833	1390	276
834	1392	275
835	1393	273
836	1395	271
837	1396	270
838	1398	268
839	1399	266
840	1400	264
841	1402	263
842	1404	261
843	1405	259
844	1406	258
845	1408	256
846	1409	254
847	1411	252
848	1412	251
849	1414	249
850	1415	247
851	1416	246
852	1418	244
853	1419	242
854	1421	241
855	1422	239
856	1424	237
857	1425	235
858	1427	234
859	1428	232
860	1429	230
861	1431	229
862	1432	227
863	1433	225
864	1435	223
865	1436	222
866	1437	220
867	1439	218
868	1440	217
869	1441	215
870	1443	213
871	1444	212
872	1445	210
873	1446	208
874	1448	206
875	1449	205
876	1451	203
877	1452	201
878	1454	200
879	1455	198
880	1456	196
881	1458	195
882	1459	193
883	1460	191
884	1462	190
885	1463	188
886	1464	186
887	1466	184
888	1467	183
889	1469	181
890	1470	179
891	1471	178
892	1473	176
893	1475	174
894	1476	173
895	1477	171
896	1479	169
897	1480	168
898	1481	166
899	1483	164
900	1484	163
901	1485	161
902	1487	159
903	1488	158
904	1489	156
905	1491	154
906	1492	153
907	1493	151
908	1495	149
909	1496	147
910	1497	146
911	1498	144
912	1500	142
913	1501	141
914	1502	139
915	1503	137
916	1505	136
917	1506	134
918	1508	132
919	1509	131
920	1510	129
921	1512	127
922	1513	126
923	1514	124
924	1515	122
925	1517	121
926	1519	119
927	1520	117
928	1521	116
929	1523	114
930	1524	112
931	1526	111
932	1527	109
933	1528	108
934	1529	106
935	1531	104
936	1532	103
937	1533	101
938	1534	99
939	1536	98
940	1537	96
941	1538	94
942	1540	93
943	1541	91
944	1542	89
945	1544	88
946	1546	86
947	1547	84
948	1548	83
949	1550	81
950	1551	79
951	1552	78
952	1554	76
953	1555	74
954	1556	73
955	1558	71
956	1560	70
957	1561	68
958	1562	66
959	1564	65
960	1565	63
961	1567	61
962	1568	60
963	1569	58
964	1571	56
965	1572	55
966	1573	53
967	1575	52
968	1576	50
969	1577	48
970	1579	47
971	1581	45
972	1582	43
973	1583	42
974	1584	40
975	1585	38
976	1587	37
977	1588	35
978	1589	34
979	1591	32
980	1592	30
981	1593	29
982	1594	27
983	1596	25
984	1597	24
985	1598	22
986	1599	21
987	1601	19
988	1602	17
989	1603	16
990	1605	14
991	1606	12
992	1607	11
993	1609	9
994	1610	8
995	1612	6
996	1613	4
997	1615	3
998	1616	1
999	1618	0
